Escenario,Biomasa_Planta_f,Biomasa_Hongo_f,ROI_Planta,ROI_Hongo,Intercambio_C,Intercambio_P,n_critico,p_critico,% I,% II,% III,% IV
1,2.0177912896807246,3.976311646566744,0.5913071515143781,1.923250372052411,0.29986337996020856,0.07638425047075867,0.12,0.1,0.0,0.13333333333333333,0.0,99.86666666666667
2,0.07027540945347933,7.6473267212823774,1.9097331706327498,1.1868083169160537,0.45787305893016234,0.01559687755839596,0.12,0.1,0.13333333333333333,0.06666666666666667,87.66666666666667,12.133333333333333
3,0.25839708423970054,6.873825154691347,1.0630119484362526,0.9968525785837865,0.2601445887689877,0.22961896174314952,0.12,0.1,0.0,99.93333333333332,0.06666666666666667,0.0
4,7.200417587673149,67.77977905920423,0.26427790724523353,5.156472698162647,1.9994215107921416,0.3519769650883496,0.12,0.1,3.5333333333333337,0.0,1.7999999999999998,94.66666666666667
