regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,period,gov_strat,ag_strat,CI,conflict_regime,war_economy,poverty,social_cohesion,ag_power,militarisation,ag_infiltration,displacement,resilience_ratio
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,1,Development,Coerce,1.079566675043135,3,0.12480499219774095,0.6026490066065524,0.6478873237611584,0.037398737065600984,0.033692722371059504,0.27298270251190354,0.690659753009611,0.6616674018234817
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,2,Balance,Coerce,1.1426454649575826,3,0.1279809220965345,0.6698369565035371,0.655172413642489,0.029003010930804683,0.0319488817884569,0.35699690368787323,0.7596537499051917,0.6837366347392382
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,3,Balance,Coerce,1.1749005224736435,3,0.13383838383613064,0.6785243741586686,0.6374622355211557,0.021495814345828455,0.03317055192051653,0.4814910945139798,0.783725766407946,0.7568238212930009
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,4,Balance,Coerce,1.2746319699044224,3,0.14537037036767828,0.6965240641524991,0.5672624646157549,0.01833481637695799,0.036412570251936796,0.5640252895636674,0.807934365761061,0.789620147433587
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,5,Balance,Coerce,1.4125108782977107,4,0.15470171890485934,0.721590909070409,0.46378174967755764,0.01816546685834687,0.04082217288489834,0.5401907964122011,0.8275397323045734,0.758279170476766
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,6,Balance,Extract,1.4570776779493884,4,0.17887931034097238,0.7486033519343963,0.4704049843259803,0.017321975535200408,0.034015874074114376,0.5662264077302446,0.84442756432196,0.7709439780048876
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,7,Balance,Extract,1.5082362629835513,4,0.20301624129459356,0.7548746517895576,0.4496546301006,0.016177904755977142,0.031983603507335215,0.6056325165034245,0.8438899917845696,0.7495549516835555
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,8,Balance,Extract,1.5518314044781334,4,0.20886814468590728,0.7482900136594175,0.40532675386719136,0.015852971575072157,0.03020497610876098,0.6178148202753904,0.8359876922409805,0.7453445334248263
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,9,Balance,Extract,1.5787219702450423,4,0.23012048192216564,0.7397078353057182,0.3911063469828416,0.015544578322726437,0.03127379129199169,0.6298508023542858,0.8248096474269089,0.7428021148074343
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,10,Balance,Extract,1.606928695226028,4,0.23592814370692378,0.7673796791238667,0.3963791276047625,0.015251306809408682,0.029769478586064727,0.6417275491994692,0.8328878503427604,0.6908443666056283
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,11,Balance,Extract,1.5685083532173023,4,0.25434243175547516,0.7563775510011129,0.44221162953928567,0.014575676264376801,0.028741583145767136,0.6370246087876993,0.8212425703236953,0.7074796881964792
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,12,Balance,Extract,1.593012776125617,4,0.2536231883996707,0.7604035308761563,0.4210139431502101,0.01475100839781589,0.026862110143751942,0.5974579024959352,0.8253029593850012,0.7196321093912444
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,13,Balance,Extract,1.5326749800124593,4,0.25771971495824864,0.7503059975336525,0.47535073247944176,0.015211450526656236,0.027164308098966545,0.5207446600915823,0.8245943146968127,0.7688753106439135
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,14,Balance,Extract,1.5787405480970307,4,0.25999999999388207,0.7715355805050804,0.45279503240193175,0.014474138837702114,0.029094339428525122,0.5469579099496128,0.8353896186368218,0.7339888026791235
2,0.7,adaptive_balance,pressure,0.0,0.0,1,1,15,Balance,Extract,1.679643901316838,4,0.27490996397899353,0.7776381909352353,0.3729042535973907,0.014060575608330949,0.029088995339072835,0.5344120768162589,0.8316505346878995,0.6932406173231664
