regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,period,gov_strat,ag_strat,CI,conflict_regime
2,0.1,reactive,opportunistic,30.0,1,Development,Coerce,1.1372239325387739,3
2,0.1,reactive,opportunistic,30.0,2,Balance,Coerce,1.3627572221611386,3
2,0.1,reactive,opportunistic,30.0,3,Balance,Coerce,1.4644660932370797,4
2,0.1,reactive,opportunistic,30.0,4,Balance,Coerce,1.5310775919502286,4
2,0.1,reactive,opportunistic,30.0,5,Balance,Coerce,1.5515648970557205,4
2,0.1,reactive,opportunistic,30.0,6,Balance,Coerce,1.651277867097008,4
2,0.1,reactive,opportunistic,30.0,7,Balance,Coerce,1.6996749269314952,4
2,0.1,reactive,opportunistic,30.0,8,Balance,Coerce,1.7484136672150792,4
2,0.1,reactive,opportunistic,30.0,9,Balance,Coerce,1.808033810250301,4
2,0.1,reactive,opportunistic,30.0,10,Balance,Coerce,1.8279052676724157,4
2,0.1,reactive,opportunistic,30.0,11,Balance,Coerce,1.8581587849469599,5
2,0.1,reactive,opportunistic,30.0,12,Defense,Coerce,1.853102737444119,5
2,0.1,reactive,opportunistic,30.0,13,Defense,Coerce,1.8365449255857798,4
2,0.1,reactive,opportunistic,30.0,14,Balance,Coerce,1.8967690064041298,5
2,0.1,reactive,opportunistic,30.0,15,Defense,Coerce,1.9052348013044533,5
2,0.1,reactive,opportunistic,60.0,1,Development,Coerce,1.1372239325387739,3
2,0.1,reactive,opportunistic,60.0,2,None,Coerce,1.3690041406399756,3
2,0.1,reactive,opportunistic,60.0,3,Balance,Coerce,1.442512438030932,4
2,0.1,reactive,opportunistic,60.0,4,None,Coerce,1.5367849735472492,4
2,0.1,reactive,opportunistic,60.0,5,None,Coerce,1.58259492019149,4
2,0.1,reactive,opportunistic,60.0,6,Balance,Coerce,1.6576186439631584,4
2,0.1,reactive,opportunistic,60.0,7,None,Coerce,1.6683350422943681,4
2,0.1,reactive,opportunistic,60.0,8,None,Coerce,1.7269685175771805,4
2,0.1,reactive,opportunistic,60.0,9,None,Coerce,1.761555875657597,4
2,0.1,reactive,opportunistic,60.0,10,Balance,Coerce,1.8406382710273728,5
2,0.1,reactive,opportunistic,60.0,11,Defense,Coerce,1.8644251019384404,5
2,0.1,reactive,opportunistic,60.0,12,Defense,Coerce,1.891860443117705,5
2,0.1,reactive,opportunistic,60.0,13,None,Coerce,1.9204656356151146,5
2,0.1,reactive,opportunistic,60.0,14,None,Coerce,1.9223344148703425,5
2,0.1,reactive,opportunistic,60.0,15,None,Coerce,1.931670165742847,5
2,0.1,reactive,opportunistic,90.0,1,Development,Coerce,1.1372239325387739,3
2,0.1,reactive,opportunistic,90.0,2,None,Coerce,1.3690041406399756,3
2,0.1,reactive,opportunistic,90.0,3,None,Coerce,1.461159213041572,4
2,0.1,reactive,opportunistic,90.0,4,None,Coerce,1.5215113436903658,4
2,0.1,reactive,opportunistic,90.0,5,None,Coerce,1.5923945261917958,4
2,0.1,reactive,opportunistic,90.0,6,Balance,Coerce,1.64578116368549,4
2,0.1,reactive,opportunistic,90.0,7,None,Coerce,1.6768621154513326,4
2,0.1,reactive,opportunistic,90.0,8,None,Coerce,1.7342447328366961,4
2,0.1,reactive,opportunistic,90.0,9,None,Coerce,1.776276897518565,4
2,0.1,reactive,opportunistic,90.0,10,Balance,Coerce,1.7903594657374597,4
2,0.1,reactive,opportunistic,90.0,11,Balance,Coerce,1.8170240058997933,4
2,0.1,reactive,opportunistic,90.0,12,Balance,Coerce,1.8557482737879645,5
2,0.1,reactive,opportunistic,90.0,13,None,Coerce,1.8947297757650428,5
2,0.1,reactive,opportunistic,90.0,14,None,Coerce,1.899167474491237,5
2,0.1,reactive,opportunistic,90.0,15,None,Coerce,1.9117609101970725,5
