regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,final_CI,final_regime,min_CI,max_CI,mean_CI,gov_strategy_switches,ag_strategy_switches,gov_none_periods
3,0.4,defense_first,territorial,0.0,0.0,1,1,1.8253331273363138,4,1.4093329974515398,1.8253331273363138,1.6633908466362626,1,0,0
3,0.4,defense_first,opportunistic,0.0,0.0,1,1,1.8253331273363138,4,1.4093329974515398,1.8253331273363138,1.6633908466362626,1,0,0
3,0.4,defense_first,pressure,0.0,0.0,1,1,1.8409402435597957,5,1.4093329974515398,1.8409402435597957,1.6637781916174759,1,1,0
3,0.4,defense_first,economic,0.0,0.0,1,1,1.8409402435597957,5,1.4093329974515398,1.8409402435597957,1.6637781916174759,1,1,0
3,0.4,reactive,pressure,0.0,0.0,1,1,1.870900026495472,5,1.4093329974515398,1.9020085109386615,1.7599260622076471,2,1,0
3,0.4,reactive,economic,0.0,0.0,1,1,1.870900026495472,5,1.4093329974515398,1.9020085109386615,1.7599260622076471,2,1,0
3,0.4,reactive,territorial,0.0,0.0,1,1,1.9418145696718034,5,1.4093329974515398,1.9418145696718034,1.7785076402411835,4,0,0
3,0.4,reactive,opportunistic,0.0,0.0,1,1,1.9418145696718034,5,1.4093329974515398,1.9418145696718034,1.7785076402411835,4,0,0
3,0.4,adaptive_balance,pressure,0.0,0.0,1,1,1.978233900199159,5,1.4093329974515398,1.9804456140492923,1.7880967951518154,1,1,0
3,0.4,adaptive_balance,economic,0.0,0.0,1,1,1.978233900199159,5,1.4093329974515398,1.9804456140492923,1.7880967951518154,1,1,0
3,0.4,development_first,economic,0.0,0.0,1,1,2.021450950972361,5,1.4093329974515398,2.021450950972361,1.761414521626889,0,1,0
3,0.4,development_first,pressure,0.0,0.0,1,1,2.021450950972361,5,1.4093329974515398,2.021450950972361,1.761414521626889,0,1,0
3,0.4,adaptive_balance,territorial,0.0,0.0,1,1,2.063139358547749,5,1.4093329974515398,2.1097337384355788,1.8566062815991116,2,0,0
3,0.4,adaptive_balance,opportunistic,0.0,0.0,1,1,2.063139358547749,5,1.4093329974515398,2.1097337384355788,1.8566062815991116,2,0,0
3,0.4,development_first,opportunistic,0.0,0.0,1,1,2.0720279393656256,5,1.3581306607133719,2.0720279393656256,1.8009112910533354,0,0,0
3,0.4,development_first,territorial,0.0,0.0,1,1,2.0720279393656256,5,1.3581306607133719,2.0720279393656256,1.8009112910533354,0,0,0
