regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,final_CI,final_regime,min_CI,max_CI,mean_CI,gov_strategy_switches,ag_strategy_switches,gov_none_periods
3,0.7,defense_first,territorial,0.0,0.0,1,1,1.6603411768518828,4,1.3720168446981316,1.6639325216337517,1.5712593035058782,1,0,0
3,0.7,defense_first,opportunistic,0.0,0.0,1,1,1.6603411768518828,4,1.3720168446981316,1.6639325216337517,1.5712593035058782,1,0,0
3,0.7,defense_first,economic,0.0,0.0,1,1,1.7695322449920439,4,1.3720168446981316,1.7695322449920439,1.6223663347126542,1,1,0
3,0.7,defense_first,pressure,0.0,0.0,1,1,1.7700332837230626,4,1.3720168446981316,1.7700332837230626,1.5936657946918085,1,1,0
3,0.7,reactive,opportunistic,0.0,0.0,1,1,1.7955557521796757,4,1.3720168446981316,1.8315464499133332,1.658248566884923,1,0,0
3,0.7,reactive,territorial,0.0,0.0,1,1,1.7955557521796757,4,1.3720168446981316,1.8315464499133332,1.658248566884923,1,0,0
3,0.7,reactive,economic,0.0,0.0,1,1,1.8002494111844627,4,1.3720168446981316,1.8615941531287943,1.6452052660045449,2,1,0
3,0.7,development_first,economic,0.0,0.0,1,1,1.8113349563477814,4,1.3720168446981316,1.8967680058651115,1.6585681312172371,0,1,0
3,0.7,adaptive_balance,opportunistic,0.0,0.0,1,1,1.8156303846449178,4,1.3720168446981316,1.8793695674946025,1.6669942280651413,4,0,0
3,0.7,adaptive_balance,territorial,0.0,0.0,1,1,1.8156303846449178,4,1.3720168446981316,1.8793695674946025,1.6669942280651413,4,0,0
3,0.7,development_first,pressure,0.0,0.0,1,1,1.8458800981817582,5,1.3720168446981316,1.8458800981817582,1.658364672218767,0,1,0
3,0.7,development_first,territorial,0.0,0.0,1,1,1.8658471995736363,5,1.3720168446981316,1.899477091889915,1.6774922541182755,0,0,0
3,0.7,development_first,opportunistic,0.0,0.0,1,1,1.8658471995736363,5,1.3720168446981316,1.899477091889915,1.6774922541182755,0,0,0
3,0.7,adaptive_balance,pressure,0.0,0.0,1,1,1.8796837776026503,5,1.3720168446981316,1.8796837776026503,1.6703741830566263,4,1,0
3,0.7,reactive,pressure,0.0,0.0,1,1,1.8880540318496557,5,1.3720168446981316,1.9404852793751461,1.6712767834425961,4,1,0
3,0.7,adaptive_balance,economic,0.0,0.0,1,1,1.906444980418561,5,1.3720168446981316,1.906444980418561,1.6522849706201512,2,1,0
