regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,final_CI,final_regime,min_CI,max_CI,mean_CI,gov_strategy_switches,ag_strategy_switches,gov_none_periods
2,0.1,defense_first,pressure,0.0,0.0,1,1,1.869857249135886,5,1.1188706036371705,1.869857249135886,1.633442088013494,1,1,0
2,0.1,reactive,opportunistic,0.0,0.0,1,1,1.9118676647407211,5,1.1188706036371705,1.9118676647407211,1.6821891503368753,2,0,0
2,0.1,reactive,territorial,0.0,0.0,1,1,1.9118676647407211,5,1.1188706036371705,1.9118676647407211,1.6821891503368753,2,0,0
2,0.1,adaptive_balance,pressure,0.0,0.0,1,1,1.9127253624862135,5,1.1188706036371705,1.9127253624862135,1.692465533230127,1,1,0
2,0.1,defense_first,opportunistic,0.0,0.0,1,1,1.9230255260396518,5,1.1188706036371705,1.9230255260396518,1.6665484471982628,1,0,0
2,0.1,defense_first,territorial,0.0,0.0,1,1,1.9230255260396518,5,1.1188706036371705,1.9230255260396518,1.6665484471982628,1,0,0
2,0.1,defense_first,economic,0.0,0.0,1,1,1.9389845288497443,5,1.1188706036371705,1.9389845288497443,1.6683201504174499,1,1,0
2,0.1,reactive,economic,0.0,0.0,1,1,1.9468718152402487,5,1.1188706036371705,1.9468718152402487,1.649253612758412,2,1,0
2,0.1,adaptive_balance,economic,0.0,0.0,1,1,1.949382293759381,5,1.1188706036371705,1.951101441079093,1.6589062560968917,1,1,0
2,0.1,reactive,pressure,0.0,0.0,1,1,1.9546679417967276,5,1.1188706036371705,1.9546679417967276,1.6902331459126363,2,1,0
2,0.1,adaptive_balance,territorial,0.0,0.0,1,1,1.9683388408131628,5,1.1188706036371705,1.9741281897195824,1.6933601343145799,1,0,0
2,0.1,adaptive_balance,opportunistic,0.0,0.0,1,1,1.9683388408131628,5,1.1188706036371705,1.9741281897195824,1.6933601343145799,1,0,0
2,0.1,development_first,pressure,0.0,0.0,1,1,1.9742734426761803,5,1.1188706036371705,1.9742734426761803,1.6538327852417518,0,1,0
2,0.1,development_first,opportunistic,0.0,0.0,1,1,2.0277403780977385,5,1.1188706036371705,2.0277403780977385,1.679995024417072,0,0,0
2,0.1,development_first,territorial,0.0,0.0,1,1,2.0277403780977385,5,1.1188706036371705,2.0277403780977385,1.679995024417072,0,0,0
2,0.1,development_first,economic,0.0,0.0,1,1,2.0538848543611197,5,1.1188706036371705,2.0538848543611197,1.6730682028399655,0,1,0
