regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,period,gov_strat,ag_strat,CI,conflict_regime,war_economy,poverty,social_cohesion,ag_power,militarisation,ag_infiltration,displacement,resilience_ratio
2,0.1,reactive,opportunistic,60.0,0.0,1,1,1,Development,Coerce,1.1372239325387739,3,0.12580853816096688,0.657276995288021,0.6458616009102139,0.03867214910072763,0.03559252693207166,0.21994234348992975,0.7433658503207126,0.6985645932642971
2,0.1,reactive,opportunistic,60.0,0.0,1,1,2,None,Coerce,1.3690041406399756,3,0.10988074957254566,0.8522792844531948,0.593155893385765,0.040431955982376123,0.04387043870318791,0.1512575641249992,0.8900297017688662,0.6355038104615452
2,0.1,reactive,opportunistic,60.0,0.0,1,1,3,Balance,Coerce,1.442512438030932,4,0.1336325966827757,0.90556492408922,0.5966850827410637,0.02353386090561238,0.039344615715439395,0.22846370630752402,0.922840435442352,0.5835493275317255
2,0.1,reactive,opportunistic,60.0,0.0,1,1,4,None,Coerce,1.5367849735472492,4,0.13085070037357616,0.9527588155747871,0.546824542401114,0.025907044265774372,0.04636053297992817,0.1697780136722616,0.9572164656566158,0.5445439860903744
2,0.1,reactive,opportunistic,60.0,0.0,1,1,5,None,Coerce,1.58259492019149,4,0.13188705233932688,0.9655593528873991,0.514851485035236,0.02706006299395724,0.050428816465399026,0.13948445960955777,0.9637694450542861,0.48822438148280184
2,0.1,reactive,opportunistic,60.0,0.0,1,1,6,Balance,Coerce,1.6576186439631584,4,0.1657986111075127,0.9609808012137527,0.46916076835810716,0.021560558915427054,0.051184556886980904,0.16074187327165118,0.9604571521573532,0.5315504008628018
2,0.1,reactive,opportunistic,60.0,0.0,1,1,7,None,Coerce,1.6683350422943681,4,0.16594265855417112,0.9672629594475676,0.4648705757073706,0.022263053954764574,0.052923044771894426,0.14282934360930166,0.9625292299062123,0.483894461207685
2,0.1,reactive,opportunistic,60.0,0.0,1,1,8,None,Coerce,1.7269685175771805,4,0.16637554584789518,0.9764677620219914,0.4158747902927059,0.02344503248939032,0.05783385909440852,0.12177541319040935,0.9696140181712759,0.44603627306624516
2,0.1,reactive,opportunistic,60.0,0.0,1,1,9,None,Coerce,1.761555875657597,4,0.1676198856100387,0.9777861947558446,0.3838502047082862,0.024738932050614216,0.06245181187207277,0.09670616805340941,0.9696040581505632,0.43649082011926005
2,0.1,reactive,opportunistic,60.0,0.0,1,1,10,Balance,Coerce,1.8406382710273728,5,0.2080352228891563,0.9707795520361417,0.3381765038979253,0.02235158775158406,0.05869449023382264,0.10481524956429517,0.9651865273409387,0.5238404943554218
2,0.1,reactive,opportunistic,60.0,0.0,1,1,11,Defense,Coerce,1.8644251019384404,5,0.206331877723626,0.9753937140861759,0.31730048987136167,0.0208300314179177,0.0645098783165607,0.10325191449230733,0.9637217494092133,0.4307155015678238
2,0.1,reactive,opportunistic,60.0,0.0,1,1,12,Defense,Coerce,1.891860443117705,5,0.20455778621257265,0.975132513042312,0.28782985613717943,0.020098028106227957,0.07189975168329983,0.0982300671128909,0.9626697473076451,0.4343959116589282
2,0.1,reactive,opportunistic,60.0,0.0,1,1,13,None,Coerce,1.9204656356151146,5,0.20128136678587039,0.9812765775754568,0.26209230874621264,0.020503189495116134,0.07886948377630193,0.09230527622945486,0.9698053404659667,0.41514942660762183
2,0.1,reactive,opportunistic,60.0,0.0,1,1,14,None,Coerce,1.9223344148703425,5,0.198626518748055,0.9784684121831774,0.25476051606088995,0.02110960708895343,0.08250028792459832,0.08407865752336141,0.9707651373608345,0.5082142372135854
2,0.1,reactive,opportunistic,60.0,0.0,1,1,15,None,Coerce,1.931670165742847,5,0.19602718243084044,0.9827043029271029,0.24706131961509634,0.02219162240885704,0.08350530003250776,0.07339932631836427,0.9751826671107297,0.48983280822894576
