regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,period,gov_strat,ag_strat,CI,conflict_regime,war_economy,poverty,social_cohesion,ag_power,militarisation,ag_infiltration,displacement,resilience_ratio
2,0.4,reactive,opportunistic,60.0,0.0,1,1,1,Development,Coerce,1.153196665585174,3,0.12551636478987108,0.6254545454382999,0.5977742446429971,0.0367982851891821,0.034767074342867466,0.27187064986548504,0.7186882116217536,0.6989820649200684
2,0.4,reactive,opportunistic,60.0,0.0,1,1,2,None,Coerce,1.3780604461607324,3,0.10470492248973748,0.7812675266185847,0.5079120029475899,0.039282731678183545,0.049244911357800986,0.26451709520875805,0.8443031918413735,0.6848112378678827
2,0.4,reactive,opportunistic,60.0,0.0,1,1,3,Balance,Coerce,1.421890974233095,4,0.1243066884155903,0.8168178255285852,0.5192335397110804,0.023157749593629724,0.04138093525540402,0.42168939607540307,0.8662078791265175,0.6574241510289909
2,0.4,reactive,opportunistic,60.0,0.0,1,1,4,None,Coerce,1.4994250774770799,4,0.11446692841868812,0.865203414231648,0.48024526517325616,0.02420817244764326,0.04536019298806425,0.3710205640290178,0.8954250124309522,0.6256753279359821
2,0.4,reactive,opportunistic,60.0,0.0,1,1,5,Balance,Coerce,1.5054700398054,4,0.13639626704708546,0.8628947729930878,0.4938210002347733,0.018312052965341566,0.04260296111608827,0.44119337174019985,0.889829760994949,0.6194528815636913
2,0.4,reactive,opportunistic,60.0,0.0,1,1,6,Balance,Coerce,1.5228794447380587,4,0.15831578947035127,0.8499560650511526,0.4853924097834452,0.01743083297866906,0.039399376810990344,0.42580790009200004,0.8850928314735638,0.6783971840030296
2,0.4,reactive,opportunistic,60.0,0.0,1,1,7,None,Coerce,1.5709144369588763,4,0.14274838218228503,0.8859877939499916,0.4578217391734004,0.01824919938773943,0.044431918618794204,0.3658120946355332,0.8991438898648205,0.5853128798777649
2,0.4,reactive,opportunistic,60.0,0.0,1,1,8,Balance,Coerce,1.6416680265419035,4,0.16726780883301928,0.87621926032012,0.40181904261123585,0.01614551561408511,0.048330505288929876,0.40499426787347764,0.8964861681017253,0.6407197012169353
2,0.4,reactive,opportunistic,60.0,0.0,1,1,9,Balance,Coerce,1.6212878319313453,4,0.19030428055208098,0.8646446883956553,0.4336611370163909,0.016268838233799623,0.04513987822245414,0.3451321269218838,0.887539254517168,0.6574262218254067
2,0.4,reactive,opportunistic,60.0,0.0,1,1,10,Balance,Coerce,1.6985040079389124,4,0.20187534472692048,0.868166085939082,0.3715374227270901,0.01580008653864681,0.04961654688126156,0.34092090068482905,0.8910142696314431,0.6654245684369885
2,0.4,reactive,opportunistic,60.0,0.0,1,1,11,Balance,Coerce,1.649903634781371,4,0.2131624927136535,0.8764620354590715,0.43972089339135406,0.015111914589733839,0.0477830713221057,0.34912085544854793,0.8973114463842565,0.671794402145432
2,0.4,reactive,opportunistic,60.0,0.0,1,1,12,Balance,Coerce,1.664091090283897,4,0.22799240024610629,0.8684821313612664,0.43238344132347567,0.015777021528168133,0.045872329880087145,0.3275408997151571,0.8894900060384894,0.6675051124204515
2,0.4,reactive,opportunistic,60.0,0.0,1,1,13,Balance,Coerce,1.6683007505913614,4,0.23837981406911177,0.8824353701096224,0.4525144335873728,0.015610120427442727,0.042570432911219765,0.3309714945425073,0.8952405414429673,0.6280089819712135
2,0.4,reactive,opportunistic,60.0,0.0,1,1,14,Balance,Coerce,1.7070432863522553,4,0.24639670555091395,0.8719086873608958,0.41126210655955425,0.015449006587502593,0.043546664501001225,0.32091389552659916,0.8867820901208241,0.6462367935848112
2,0.4,reactive,opportunistic,60.0,0.0,1,1,15,Balance,Coerce,1.7194613874938187,4,0.248777078957067,0.889367162546887,0.41868285401013533,0.016496960952620647,0.046375826652452636,0.28234527023341643,0.9007623682330491,0.6388972541214062
