regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,period,gov_strat,ag_strat,CI,conflict_regime,war_economy,poverty,social_cohesion,ag_power,militarisation,ag_infiltration,displacement,resilience_ratio
1,0.1,development_first,economic,0.0,0.0,1,1,1,Development,Coerce,0.5795812161327942,2,0.021261516654553343,0.47557738251989423,0.9172576830416533,0.00843856675648184,0.008522035548896576,0.22913719911013125,0.7289798374874633,0.877415056589944
1,0.1,development_first,economic,0.0,0.0,1,1,2,Development,Extract,0.8489626388633484,2,0.02808988763999857,0.6852883354952393,0.8644155842718894,0.009918325974175449,0.01221624151631598,0.1653656777166258,0.872321740061447,0.9050221425699595
1,0.1,development_first,economic,0.0,0.0,1,1,3,Development,Extract,0.9755432837802881,3,0.03599999999928003,0.7911435357722716,0.8516002519912635,0.01042651613584755,0.013027787284364451,0.1493637353215419,0.9168340892302147,0.890351511515934
1,0.1,development_first,economic,0.0,0.0,1,1,4,Development,Extract,1.0274215786616394,3,0.04417177914002039,0.8239652833160445,0.8407154837944255,0.010917030185096004,0.014958805347553873,0.13518735009145808,0.9252427621495114,0.8909455931112719
1,0.1,development_first,economic,0.0,0.0,1,1,5,Development,Extract,1.0908663475060827,3,0.0572337042907081,0.867623162261777,0.8339905190464025,0.011411513497619966,0.016140783316244686,0.12258890566099127,0.9404212118447952,0.864516063961914
1,0.1,development_first,economic,0.0,0.0,1,1,6,Development,Extract,1.1149637274064677,3,0.07228915662360304,0.8826486799643989,0.8399741091815343,0.011393878681682096,0.015476375858813042,0.12258890566099122,0.9425413576408013,0.83253147033888
1,0.1,development_first,economic,0.0,0.0,1,1,7,Development,Extract,1.1400678329486538,3,0.08571428571020438,0.8869835891034354,0.8326300418649861,0.01138198746427693,0.01605046556898881,0.1225889056609912,0.9403508869132258,0.81116049563411
1,0.1,development_first,economic,0.0,0.0,1,1,8,Development,Extract,1.1780346812809035,3,0.09399477806297711,0.9141926292051415,0.8301527259872152,0.011375774856250968,0.015774906740422482,0.1225889056609912,0.9571563484325303,0.8916716248165364
1,0.1,development_first,economic,0.0,0.0,1,1,9,Development,Extract,1.2624105881988266,3,0.10541310540709938,0.912861995477071,0.7558645126853437,0.01186048828209006,0.02529583474518784,0.11136044693152232,0.9511395013436128,0.8408511361873029
1,0.1,development_first,economic,0.0,0.0,1,1,10,Development,Extract,1.2374372101678905,3,0.11246200607219127,0.9180410883495843,0.793065884253885,0.012354049873027923,0.02354650995120659,0.10132630114309753,0.9529388167277404,0.8713759034045552
1,0.1,development_first,economic,0.0,0.0,1,1,11,Development,Extract,1.2777284721636195,3,0.124161073817171,0.9301220406700829,0.7765546423236344,0.013362219713814303,0.02801454101458532,0.08405216878360257,0.9563013587657572,0.8217417700994055
1,0.1,development_first,economic,0.0,0.0,1,1,12,Development,Extract,1.329816761122503,3,0.1516393442498665,0.9241245735338497,0.7459471566612133,0.013338052174207695,0.03375906437313805,0.08405216878360257,0.9486239095033073,0.7899148923482643
1,0.1,development_first,economic,0.0,0.0,1,1,13,Development,Extract,1.4005628627860542,4,0.15677966100366367,0.9413244776826609,0.6975412759002704,0.013853448463682864,0.04023647433150744,0.07680629178816617,0.9547376977702126,0.6999793669122013
1,0.1,development_first,economic,0.0,0.0,1,1,14,Development,Extract,1.4011095559212938,4,0.15352697094161694,0.9520648812871167,0.7044822963074401,0.014896387657356552,0.03979643828158367,0.06420563021073866,0.9610668889995532,0.6816887201391503
1,0.1,development_first,economic,0.0,0.0,1,1,15,Development,Extract,1.4294377643640357,4,0.16591928249633117,0.9559574118744251,0.6924389300067205,0.015416750531231524,0.04359286358388371,0.058878985113616715,0.9618189726370949,0.6600641657201252
