regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,period,gov_strat,ag_strat,CI,conflict_regime,war_economy,poverty,social_cohesion,ag_power,militarisation,ag_infiltration,displacement,resilience_ratio
1,0.7,development_first,economic,0.0,0.0,1,1,1,Development,Coerce,0.48682688862883966,2,0.02170767004310119,0.3889287422192985,0.9238095236335601,0.007466520123675842,0.007525870178597821,0.28799999953919997,0.6476733829150997,0.8730185842828295
1,0.7,development_first,economic,0.0,0.0,1,1,2,Development,Extract,0.6708470242042095,2,0.029006526468034716,0.5287800687133795,0.8869395709772047,0.007465258181385889,0.008850907980942305,0.2879999995392001,0.7763295892676575,0.8853366619291605
1,0.7,development_first,economic,0.0,0.0,1,1,3,Development,Extract,0.7366630277791667,2,0.034063260340080066,0.5568317422268245,0.8542319747877379,0.007461386503999757,0.011775132944900289,0.2879999995392001,0.7999798651791564,0.8932870723745465
1,0.7,development_first,economic,0.0,0.0,1,1,4,Development,Extract,0.7355518973845776,2,0.03956834532302932,0.5748827666888952,0.8788992146273469,0.007938423058745354,0.009606757304969035,0.2567567563712362,0.8033184718318277,0.8860853174693977
1,0.7,development_first,economic,0.0,0.0,1,1,5,Development,Extract,0.7491000386269163,2,0.043264503440643726,0.5908001198504399,0.8849645846641673,0.007935864450116792,0.009233886764681473,0.2567567563712362,0.8150685158795848,0.8868723434008898
1,0.7,development_first,economic,0.0,0.0,1,1,6,Development,Extract,0.7403646816978161,2,0.04896626768119763,0.5591413136036631,0.8677428995870446,0.00792139665740354,0.010187100786255213,0.25675675637123624,0.7961867186468449,0.9120543898184219
1,0.7,development_first,economic,0.0,0.0,1,1,7,Development,Extract,0.7721871876487121,2,0.05139664804354414,0.5888527498347463,0.8680622102295784,0.007911893711120287,0.010430156283090596,0.2567567563712363,0.8179754274429778,0.914738472725173
1,0.7,development_first,economic,0.0,0.0,1,1,8,Development,Extract,0.7342255156749152,2,0.05452436194769076,0.5818106312131274,0.9021094774859029,0.007901981618254087,0.007395045799339939,0.2567567563712363,0.8049831584040176,0.9263088531614455
1,0.7,development_first,economic,0.0,0.0,1,1,9,Development,Extract,0.7886295540710513,2,0.05896510228498272,0.6130717108804886,0.8834072590944201,0.007894503771135715,0.009002439684320676,0.2567567563712363,0.823332012193114,0.9268595498660356
1,0.7,development_first,economic,0.0,0.0,1,1,10,Development,Extract,0.8107279998396578,2,0.06472081218109843,0.6121803684186913,0.8661731807601319,0.007885917858341076,0.010096520463796345,0.2567567563712363,0.8093011362986888,0.8827574490837327
1,0.7,development_first,economic,0.0,0.0,1,1,11,Development,Extract,0.8234191395181054,2,0.06513409961519448,0.5897943037819142,0.8315092638790033,0.007881780675752794,0.010004734631001162,0.2567567563712363,0.7921732473192075,0.8928022068553247
1,0.7,development_first,economic,0.0,0.0,1,1,12,Development,Extract,0.8463150122907913,2,0.06892230576268359,0.6191168693649094,0.8417241628368016,0.007876846503776735,0.010457673503546152,0.2567567563712363,0.8083627871630661,0.8960783509644905
1,0.7,development_first,economic,0.0,0.0,1,1,13,Development,Extract,0.9283413037005237,2,0.06610576922918013,0.6476231385839739,0.7853876041126303,0.008354846625935573,0.013971912533540565,0.2296275351902927,0.8290067581081731,0.8570163531287477
1,0.7,development_first,economic,0.0,0.0,1,1,14,Development,Extract,0.9250144243920867,2,0.07079646017520108,0.6211375444183445,0.7669195802014589,0.008835160538247643,0.014408194246558724,0.20595467241499277,0.8149873239570921,0.8908445586722767
1,0.7,development_first,economic,0.0,0.0,1,1,15,Development,Extract,0.94776046748181,3,0.07464607464415324,0.6066813307504346,0.7335669379127779,0.008832012049665322,0.01531455214340574,0.20595467241499277,0.7986406323984672,0.8448055106558369
