regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,ag_cap_thresh,gov_period_mult,ag_period_mult,final_CI,final_regime,min_CI,max_CI,mean_CI,gov_strategy_switches,ag_strategy_switches,gov_none_periods
3,0.1,defense_first,territorial,0.0,0.0,1,1,1.9983890316129749,5,1.4240309012859105,1.9983890316129749,1.7691875166385052,1,0,0
3,0.1,defense_first,opportunistic,0.0,0.0,1,1,1.9983890316129749,5,1.4240309012859105,1.9983890316129749,1.7691875166385052,1,0,0
3,0.1,defense_first,pressure,0.0,0.0,1,1,2.0136488682551206,5,1.4240309012859105,2.0136488682551206,1.7776744076004845,1,1,0
3,0.1,defense_first,economic,0.0,0.0,1,1,2.0136488682551206,5,1.4240309012859105,2.0136488682551206,1.7776744076004845,1,1,0
3,0.1,reactive,pressure,0.0,0.0,1,1,2.1316663695043983,5,1.4240309012859105,2.1496133853855373,1.8916256953740578,2,1,0
3,0.1,reactive,economic,0.0,0.0,1,1,2.1316663695043983,5,1.4240309012859105,2.1496133853855373,1.8916256953740578,2,1,0
3,0.1,reactive,territorial,0.0,0.0,1,1,2.133495608239183,5,1.4240309012859105,2.133495608239183,1.9270727755183152,2,0,0
3,0.1,reactive,opportunistic,0.0,0.0,1,1,2.133495608239183,5,1.4240309012859105,2.133495608239183,1.9270727755183152,2,0,0
3,0.1,adaptive_balance,pressure,0.0,0.0,1,1,2.134712900697404,5,1.4240309012859105,2.134712900697404,1.8919803538222424,1,1,0
3,0.1,adaptive_balance,economic,0.0,0.0,1,1,2.134712900697404,5,1.4240309012859105,2.134712900697404,1.8919803538222424,1,1,0
3,0.1,development_first,economic,0.0,0.0,1,1,2.208712216115642,5,1.4240309012859105,2.208712216115642,1.8989326056988807,0,1,0
3,0.1,development_first,pressure,0.0,0.0,1,1,2.208712216115642,5,1.4240309012859105,2.208712216115642,1.8989326056988807,0,1,0
3,0.1,adaptive_balance,territorial,0.0,0.0,1,1,2.2117449043333592,5,1.4240309012859105,2.2117449043333592,1.95178509016165,1,0,0
3,0.1,adaptive_balance,opportunistic,0.0,0.0,1,1,2.2117449043333592,5,1.4240309012859105,2.2117449043333592,1.95178509016165,1,0,0
3,0.1,development_first,opportunistic,0.0,0.0,1,1,2.2427592513571155,5,1.4240309012859105,2.2427592513571155,1.971808271540043,0,0,0
3,0.1,development_first,territorial,0.0,0.0,1,1,2.2427592513571155,5,1.4240309012859105,2.2427592513571155,1.971808271540043,0,0,0
