case,peace_budget,ag_budget,budget_ratio,climate,peace_strategy,ag_strategy,target_ag,feasible,strategy_type,violence_factor,grievance_factor,scarcity_factor,objective,ag_initial,ag_final,ag_reduction,ag_reduction_pct,gov_activity,econ_activity,trust_activity,ddr_activity,ag_recruitment,ag_violence
Severe,100,20,5.0,0.5,Balanced Multi-Pronged,Recruitment Focus,0.2,True,multi,0.8,0.54,1.0,25.117,1.0,0.059,0.9410000000000001,94.10000000000001,0.972,3.094,0.269,0.622,0.081,0.4
Severe,100,20,5.0,0.5,Balanced Multi-Pronged,Recruitment Focus,0.3,True,multi,0.8,0.54,1.0,25.117,1.0,0.059,0.9410000000000001,94.10000000000001,0.972,3.094,0.269,0.622,0.081,0.4
Severe,100,20,5.0,0.5,Balanced Multi-Pronged,Territorial,0.1,True,multi,0.8,0.54,1.0,25.117,1.0,0.059,0.9410000000000001,94.10000000000001,0.972,3.094,0.0,0.622,0.081,0.4
Severe,100,20,5.0,0.5,Balanced Multi-Pronged,Territorial,0.2,True,multi,0.8,0.54,1.0,25.117,1.0,0.059,0.9410000000000001,94.10000000000001,0.972,3.094,0.0,0.622,0.081,0.4
Severe,100,20,5.0,0.5,Balanced Multi-Pronged,Territorial,0.3,True,multi,0.8,0.54,1.0,25.117,1.0,0.059,0.9410000000000001,94.10000000000001,0.972,3.094,0.0,0.622,0.081,0.4
Severe,100,20,5.0,0.5,Balanced Multi-Pronged,Defensive,0.1,True,multi,0.8,0.54,1.0,24.282,1.0,0.0,1.0,100.0,1.069,3.36,0.038,0.162,0.081,0.919
Severe,100,20,5.0,0.5,Balanced Multi-Pronged,Defensive,0.2,True,multi,0.8,0.54,1.0,24.282,1.0,0.0,1.0,100.0,1.069,3.36,0.038,0.162,0.081,0.919
Severe,100,20,5.0,0.5,Balanced Multi-Pronged,Defensive,0.3,True,multi,0.8,0.54,1.0,24.282,1.0,0.0,1.0,100.0,1.069,3.36,0.038,0.162,0.081,0.919
Severe,100,20,5.0,0.5,Integrated Approach,Aggressive,0.1,True,multi,0.8,0.54,1.0,24.383000000000003,1.0,0.0,1.0,100.0,1.0310000000000001,3.577,0.0,0.281,0.081,0.8
Severe,100,20,5.0,0.5,Integrated Approach,Aggressive,0.2,True,multi,0.8,0.54,1.0,24.383000000000003,1.0,0.0,1.0,100.0,1.0310000000000001,3.577,0.0,0.281,0.081,0.8
Severe,100,20,5.0,0.5,Integrated Approach,Aggressive,0.3,True,multi,0.8,0.54,1.0,24.383000000000003,1.0,0.0,1.0,100.0,1.0310000000000001,3.577,0.0,0.281,0.081,0.8
Severe,100,20,5.0,0.5,Integrated Approach,Recruitment Focus,0.1,False,multi,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.5,Integrated Approach,Recruitment Focus,0.2,False,multi,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.5,Integrated Approach,Recruitment Focus,0.3,True,multi,0.8,0.54,1.0,26.12175,1.0,0.2145,0.7855,78.55,0.8165,3.717,0.0,0.4665,0.081,0.4
Severe,100,20,5.0,0.5,Integrated Approach,Territorial,0.1,False,multi,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.5,Integrated Approach,Territorial,0.2,False,multi,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,20,5.0,0.5,Integrated Approach,Territorial,0.3,True,multi,0.8,0.54,1.0,26.12175,1.0,0.2145,0.7855,78.55,0.8165,3.717,0.0,0.4665,0.081,0.4
Severe,100,20,5.0,0.5,Integrated Approach,Defensive,0.1,True,multi,0.8,0.54,1.0,24.264000000000003,1.0,0.0,1.0,100.0,1.0310000000000001,3.6959999999999997,0.0,0.162,0.081,0.919
Severe,100,20,5.0,0.5,Integrated Approach,Defensive,0.2,True,multi,0.8,0.54,1.0,24.264000000000003,1.0,0.0,1.0,100.0,1.0310000000000001,3.6959999999999997,0.0,0.162,0.081,0.919
Severe,100,20,5.0,0.5,Integrated Approach,Defensive,0.3,True,multi,0.8,0.54,1.0,24.264000000000003,1.0,0.0,1.0,100.0,1.0310000000000001,3.6959999999999997,0.0,0.162,0.081,0.919
