network_file,n_species,n_reactions,n_ercs,hierarchy_time,analysis_time,total_time,basic_synergies,maximal_synergies,fundamental_synergies,type1_complementarity,type2_complementarity,type3_complementarity,total_complementarity,synergy_efficiency,interaction_efficiency,total_productive,productivity_rate,synergy_density,complementarity_density,n_edges,hierarchy_density,avg_degree,n_levels,avg_level_size,max_level_size,level_variance,leaf_nodes,root_nodes,leaf_ratio,root_ratio,max_chain_length,hierarchy_depth_ratio,avg_branching,max_branching,n_cliques,avg_closure_size,ercs_per_species
RN_Ns_20_Norg_4_id_12.txt,20,42,4,0.0802152156829834,0.013235807418823242,0.09345102310180664,0,0,0,0,0,0,0,0.0,0.3333333333333333,0,0.0,0.0,0.0,3,0.5,1.5,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_4_id_13.txt,20,40,21,0.06869816780090332,10.039775133132935,10.108473300933838,75,75,22,41,58,13,112,0.29333333333333333,0.5333333333333333,134,1.1964285714285714,1.0476190476190477,5.333333333333333,29,0.1380952380952381,2.761904761904762,1,21,21,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_4_id_14.txt,20,34,13,0.037236928939819336,1.3401930332183838,1.3774299621582031,27,27,15,2,29,1,32,0.5555555555555556,0.6282051282051282,47,0.9591836734693877,1.1538461538461537,2.4615384615384617,17,0.21794871794871795,2.6153846153846154,1,13,13,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_4_id_16.txt,20,42,9,0.07575774192810059,0.14497900009155273,0.22073674201965332,4,4,2,0,5,1,6,0.5,0.4722222222222222,8,0.47058823529411764,0.2222222222222222,0.6666666666666666,11,0.3055555555555556,2.4444444444444446,1,9,9,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_4_id_17.txt,20,40,10,0.0975182056427002,0.7674472332000732,0.8649654388427734,14,14,7,9,6,5,20,0.5,0.4222222222222222,27,1.4210526315789473,0.7,2.0,15,0.3333333333333333,3.0,1,10,10,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_4_id_18.txt,20,40,11,0.07929587364196777,0.35283660888671875,0.4321324825286865,8,8,2,8,8,3,19,0.25,0.4,21,0.9545454545454546,0.18181818181818182,1.7272727272727273,15,0.2727272727272727,2.727272727272727,1,11,11,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_4_id_19.txt,20,36,15,0.05492234230041504,4.25876522064209,4.313687562942505,38,38,10,28,16,14,58,0.2631578947368421,0.4857142857142857,68,1.3333333333333333,0.6666666666666666,3.8666666666666667,20,0.19047619047619047,2.6666666666666665,1,15,15,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_4_id_21.txt,19,36,23,0.08420348167419434,29.084396362304688,29.168599843978882,124,124,56,73,68,25,166,0.45161290322580644,0.6126482213438735,222,1.4322580645161291,2.4347826086956523,7.217391304347826,38,0.15019762845849802,3.3043478260869565,1,23,23,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_5_id_20.txt,20,42,9,0.12251496315002441,0.05538439750671387,0.17789936065673828,0,0,0,0,7,0,7,0.0,0.3888888888888889,7,0.5,0.0,0.7777777777777778,10,0.2777777777777778,2.2222222222222223,1,9,9,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_5_id_3.txt,20,40,8,0.11304926872253418,0.051587581634521484,0.16463685035705566,1,1,1,0,2,0,2,1.0,0.25,3,0.42857142857142855,0.125,0.25,9,0.32142857142857145,2.25,1,8,8,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_5_id_7.txt,20,36,11,0.09246063232421875,0.09650063514709473,0.18896126747131348,4,4,2,0,7,1,8,0.5,0.21818181818181817,10,0.8333333333333334,0.18181818181818182,0.7272727272727273,14,0.2545454545454545,2.5454545454545454,1,11,11,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_6_id_10.txt,20,36,13,0.06232333183288574,1.2355411052703857,1.2978644371032715,28,28,6,0,13,5,18,0.21428571428571427,0.6153846153846154,24,0.5,0.46153846153846156,1.3846153846153846,18,0.23076923076923078,2.769230769230769,1,13,13,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_6_id_132.txt,20,40,13,0.07857441902160645,0.6308526992797852,0.7094271183013916,9,9,5,2,13,2,17,0.5555555555555556,0.47435897435897434,22,0.5945945945945946,0.38461538461538464,1.3076923076923077,16,0.20512820512820512,2.4615384615384617,1,13,13,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_6_id_135.txt,20,40,7,0.0733027458190918,0.05858349800109863,0.13188624382019043,1,1,1,0,4,0,4,1.0,0.38095238095238093,5,0.625,0.14285714285714285,0.5714285714285714,8,0.38095238095238093,2.2857142857142856,1,7,7,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_6_id_136.txt,20,29,16,0.03567838668823242,0.5166029930114746,0.552281379699707,7,7,4,4,22,1,27,0.5714285714285714,0.4166666666666667,31,0.62,0.25,1.6875,23,0.19166666666666668,2.875,1,16,16,0,0,0,0,0,0,0,0,0,1,0,0
RN_Ns_20_Norg_6_id_137.txt,20,35,13,0.0688929557800293,0.26401829719543457,0.33291125297546387,5,5,2,3,16,1,20,0.4,0.3333333333333333,22,0.8461538461538461,0.15384615384615385,1.5384615384615385,21,0.2692307692307692,3.230769230769231,1,13,13,0,0,0,0,0,0,0,0,0,1,0,0
