,Tiempo,Biomasa_Planta,Biomasa_Hongo,Plant_Active,Plant_Limited,Fungus,Mycelium,Crecimiento_Planta,Crecimiento_Hongo,Prod_C_Planta,Adq_C_Hongo,Intercambio_C,Intercambio_N,Intercambio_P,Flujo_Crec_Planta,Flujo_Crec_Micelio,Flujo_Crec_Hongo,Flujo_Mort_PlantA,Flujo_Mort_PlantL,Flujo_Mort_Micelio,Flujo_Mort_Hongo,Flujo_Trans_C,Flujo_Trans_N,Flujo_Trans_P,Flujo_Fotosintesis,Flujo_N_Uptake,Flujo_P_Uptake,Flujo_P_Secuestro,Flujo_Entrada_N,Flujo_Entrada_P,N_Suelo,P_Disponible,P_Total_Suelo,N_Limitado,P_Limitado,C_Limitado,N_Critico,P_Critico,Demanda_C_Hongo,Oferta_C_Planta,Factor_N_Fotos,Factor_C_Disponible,Factor_N_Hongo_Limitado,Factor_N_Hongo_Libre,Escenario_I_Mutualismo_Clim,Escenario_II_Mutualismo_Fuerte,Escenario_III_Comensalismo,Escenario_IV_Parasitismo,ROI_Planta,ROI_Hongo,ROI_N_C,ROI_P_C
count,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
mean,1800.0,8.37879450490117,61.5258756151055,3.3827731009550237,4.996021403946147,61.259524793573625,0.26635082153187367,0.0018264726470018408,0.018534677585122117,5.074159651432535,1.9994215107921416,1.9994215107921416,0.1744636228259975,0.3519769650883496,0.169253653354078,0.008164344265787065,1.2441231113370377,0.06765546201910048,0.09992042807892293,0.00799052464595621,1.2251904958714726,1.9994215107921416,0.1744636228259975,0.3519769650883496,5.074159651432535,1.4218129041069951,1.4177089851357167,0.28188243917138167,0.14999999999999997,0.29999999999999993,202.44587923701562,5.637648783427634,61.042186731664714,0.05333333333333334,0.035333333333333335,0.0,0.12000000000000004,0.1,1.2521136359829936,4.904905998078458,0.5705658764211005,1.0,0.5064495438865927,0.49355045611340725,0.03492138306281336,0.0,0.007621263161879179,0.44125726537792065,0.26427790724523353,5.156472698162647,0.08774588361304546,0.1765320236321881
std,1040.2703505540862,2.3798864708675382,15.357540493803695,1.067892851717826,1.428026015710998,15.806046900258549,0.7512957493899385,0.03423117546730582,0.05564301799316995,1.6018392775767392,0.010411237068892128,0.010411237068892128,0.20642369970164612,0.4099502195799798,0.056819156786637716,0.02702426442619827,0.2865710163991904,0.021357857034356522,0.02856052031421996,0.022538872481698155,0.316120938005171,0.010411237068892128,0.20642369970164612,0.4099502195799798,1.6018392775767392,0.24132070709526715,0.19734353856832174,0.09735482678475035,2.776483210266819e-17,5.552966420533638e-17,148.41159604565155,1.947096535695007,101.39840969686401,0.22477226386416982,0.18468250406330758,0.0,4.164724815400228e-17,0.0,0.276272454836825,1.5493315111672974,0.18864993397567484,0.0,0.07902238417799048,0.07902238417799048,0.18255789549100881,0.0,0.0568656739708032,0.13048915679616757,0.29072966838096953,1.948442490388525,0.1216973368240994,0.2128521685840218
min,0.0,1.2000000000000002,0.456222418439414,0.6000000000000001,0.04081508202651295,0.2412620932440233,2.797548206584808e-14,-0.10523807996713508,-0.022663855289055623,0.9000000000000001,1.6842105263157894,1.6842105263157894,0.07604454167889801,0.1207140685075957,0.023040000000000005,5.598356793138318e-16,0.00023579090266140023,0.012000000000000002,0.000816301640530259,8.392644619754423e-16,0.004825241864880466,1.6842105263157894,0.07604454167889801,0.1207140685075957,0.9000000000000001,0.2212863988839218,0.3693058610784463,0.0016330935500854682,0.15,0.3,0.01730539181649277,0.032661871001709364,0.032661871001709364,0.0,0.0,0.0,0.12,0.1,0.011220778582686856,0.8769600000000002,0.36253374217646767,1.0,0.0026764918179760233,0.3120576305704012,0.0,0.0,0.0,0.0,0.1320057276656064,0.11322423706248518,0.03802576956145928,0.06035789923688926
25%,900.0,7.4285104705636975,64.72634460129059,2.968173490588681,4.457316589100004,64.70820628250019,1.8429519586102856e-10,-0.0019843768571530807,0.0008816193090681601,4.4522602358830214,1.999857125908017,1.999857125908017,0.14810177657118095,0.13763077582650227,0.1479430544415256,3.6891486716551065e-12,1.2960964503874444,0.05936346981177362,0.08914633178200009,5.528855875830857e-12,1.2941641256500036,1.999857125908017,0.14810177657118095,0.13763077582650227,4.4522602358830214,1.4976112032523672,1.4768946536685434,0.3196001985894004,0.15,0.3,62.69350350885797,6.392003971788008,6.392003971788008,0.0,0.0,0.0,0.12,0.1,1.2969188337649373,4.30306270577252,0.4095819678958944,1.0,0.4614084006348851,0.4710749926260449,0.0,0.0,0.0,0.4568471969015269,0.14886351867830205,4.316498023820579,0.07405202076915833,0.06881662983657325
50%,1800.0,8.318731967163362,66.2714811576594,3.3245191033000614,4.989040020878795,66.256622896489,1.496822537915797e-06,-0.001202644130795627,0.0013434718766474063,4.986778654950092,1.9999464258566935,1.9999464258566935,0.1659539296030607,0.1646348634531188,0.16578362524211093,2.9983423131927225e-08,1.326899880455803,0.06649038206600122,0.0997808004175759,4.4904676137473904e-08,1.32513245792978,1.9999464258566935,0.1659539296030607,0.1646348634531188,4.986778654950092,1.4992401956488375,1.4770612238639385,0.32195728645550536,0.15,0.3,197.319407101745,6.439145729110107,6.439145729110107,0.0,0.0,0.0,0.12,0.1,1.3276133879259437,4.822991185217466,0.49942365623511886,1.0,0.5000000178368694,0.4999999821631306,0.0,0.0,0.0,0.4827263725539592,0.17572153982156286,5.690822383585138,0.08297859214021303,0.08231963682492491
75%,2700.0,9.647229354699302,67.29570155051307,3.8652064823686043,5.7827453575116134,67.28374054776765,0.01230382710342215,-0.0008116372109318593,0.0022728995437359956,5.7978097235529065,1.9999639062042298,1.9999639062042298,0.19311861675022146,0.27607964527944473,0.192821728599326,0.00024253974558160714,1.3470470540201298,0.0773041296473721,0.11565490715023227,0.00036911481310266444,1.3456748109553534,1.9999639062042298,0.19311861675022146,0.27607964527944473,5.7978097235529065,1.4995485817505392,1.477088432426267,0.32234556358347943,0.15,0.3,332.1861518542099,6.446911271669588,74.63583379655324,0.0,0.0,0.0,0.12,0.1,1.3475553219251175,5.602678264120486,0.7330309873024083,1.0,0.5289250073739551,0.5385915993651149,0.0,0.0,0.0,0.5168117096040612,0.231669427510431,6.717562730974875,0.09656217151556425,0.138049684534805
max,3600.0,18.239237063689508,70.12449735242585,8.476260363734312,10.465958701288551,69.97341002956526,3.6078491414798752,0.48318736753739205,0.253414190674492,12.714390545601468,1.9999713380975732,1.9999713380975732,7.875,7.0,0.7601963478622984,0.5292,1.405412737826176,0.16952520727468623,0.20931917402577102,0.10823547424439625,1.3994682005913053,1.9999713380975732,7.875,7.0,12.714390545601468,1.4996789418655443,1.477099384116282,0.32250210902984544,0.15,0.3,467.1051068081835,6.450042180596908,364.82871120862575,1.0,1.0,0.0,0.12,0.1,1.4150149270600936,12.292763294740169,0.9999998738365834,1.0,0.6879423694295987,0.997323508182024,0.9979225248024599,0.0,0.5131203632165173,0.5495833498002861,8.832031249475598,7.575428863998973,4.675781249722376,4.156249999753223
