Tiempo,Biomasa_Planta,Biomasa_Hongo,Plant_Active,Plant_Limited,Fungus,Mycelium,Crecimiento_Planta,Crecimiento_Hongo,Prod_C_Planta,Adq_C_Hongo,Intercambio_C,Intercambio_N,Intercambio_P,Flujo_Crec_Planta,Flujo_Crec_Micelio,Flujo_Crec_Hongo,Flujo_Mort_PlantA,Flujo_Mort_PlantL,Flujo_Mort_Micelio,Flujo_Mort_Hongo,Flujo_Trans_C,Flujo_Trans_N,Flujo_Trans_P,Flujo_Fotosintesis,Flujo_N_Uptake,Flujo_P_Uptake,Flujo_P_Secuestro,Flujo_Entrada_N,Flujo_Entrada_P,N_Suelo,P_Disponible,P_Total_Suelo,N_Limitado,P_Limitado,C_Limitado,N_Critico,P_Critico,Demanda_C_Hongo,Oferta_C_Planta,Factor_N_Fotos,Factor_C_Disponible,Factor_N_Hongo_Limitado,Factor_N_Hongo_Libre,Escenario_I_Mutualismo_Clim,Escenario_II_Mutualismo_Fuerte,Escenario_III_Comensalismo,Escenario_IV_Parasitismo,Escenario_Dominante,ROI_Planta,ROI_Hongo,ROI_N_C,ROI_P_C
0.0,0.8,0.6,0.5,0.30000000000000004,0.3,0.3,0.014644689771387297,-0.008775414010742806,0.35,0.45714285714285724,0.45714285714285724,0.6666666666666666,1.6666666666666667,0.009600000000000003,0.027000000000000003,0.027000000000000007,0.01,0.006000000000000001,0.009,0.006,0.45714285714285724,0.6666666666666666,1.6666666666666667,0.35,0.075,1.25,0.025,0.5,0.2,0.1,0.5,0.8999999999999999,1.0,0.0,0.0,0.12,0.1,0.036000000000000004,0.3404,0.9926398160503607,1.0,0.007637439178674765,0.9923625608213252,0.0,0.0,0.004372902109103434,0.0,III: Comensalismo,5.104166665550129,0.19591836733854232,1.4583333330143224,3.6458333325358065
2.401601067378252,0.8351707025863871,0.578924956345114,0.729390621408278,0.10578008117810911,0.2929381781015659,0.285986778243548,0.03973083581224615,-0.010826819244873553,0.5105734349857945,0.429814819275661,0.429814819275661,0.13588157827618297,0.37767289577261587,0.050302616468490664,0.0003988814131181329,0.00040857691098535954,0.01458781242816556,0.0021156016235621823,0.00857960334730644,0.0058587635620313185,0.429814819275661,0.13588157827618297,0.37767289577261587,0.5105734349857945,0.13727980200020345,0.23020949506589955,0.0009064861257481485,0.5,0.2,1.0792269271468842,0.01812972251496297,0.06812245777252478,0.0,1.0,0.0,0.12,0.1,0.0089881802582918,0.4602708185173039,0.994756728662837,1.0,0.08915852373356958,0.9108414762664304,0.0,0.12134877359994656,0.0,0.0,II: Mutualismo fuerte,1.194827285840856,0.836941046980588,0.31613981684847764,0.8786874689923784
4.803202134756504,0.9908352353890411,0.5479965986904005,0.9476922222113082,0.04314301317773287,0.28057738060687537,0.26741921808352515,0.10776098902724446,-0.012142261201139495,0.6633845555479158,0.5022886346281265,0.5022886346281265,0.1412765597958153,0.3764306219328775,0.12209015723701895,0.0007312895832303902,0.0007672721399693493,0.018953844444226164,0.0008628602635546574,0.008022576542505754,0.005611547612137508,0.5022886346281265,0.1412765597958153,0.3764306219328775,0.6633845555479158,0.1429216165742849,0.23237986451436224,0.0009165989794937077,0.5,0.2,2.0191279276432614,0.018331979589874155,0.018331979589874155,0.0,1.0,0.0,0.12,0.1,0.008789848682475104,0.5412943983108968,0.9949007606263105,1.0,0.0855555026246746,0.9144444973753254,0.0,0.1413641747763761,0.0,0.0,II: Mutualismo fuerte,1.0306965874489913,0.9702176293052309,0.2812656907363313,0.7494308967126599
7.204803202134757,1.35276851512552,0.5206032214230296,1.309784089835951,0.042984425289569105,0.269674665890964,0.25092855553206567,0.18004005228192146,-0.010674403987818007,0.9168488628851656,0.5843996337843057,0.5843996337843057,0.1428116840649332,0.3792868451402602,0.22674497558670695,0.0010812863662038495,0.0011620659869506773,0.02619568179671902,0.0008596885057913821,0.00752785666596197,0.0053934933178192805,0.5843996337843057,0.1428116840649332,0.3792868451402602,0.9168488628851656,0.14509956794196666,0.2386886202428951,0.0009461922887307186,0.5,0.2,2.960954589791797,0.01892384577461437,0.01892384577461437,0.0,1.0,0.0,0.12,0.1,0.008689922652912647,0.6901038872984587,0.9930620691945373,1.0,0.08457511653678929,0.9154248834632107,0.0,0.1654151991408874,0.0,0.0,II: Mutualismo fuerte,0.8933929779096231,1.1193282512441136,0.2443733291133543,0.6490196487962688
9.606404269513009,1.855603998851239,0.49672527866885974,1.7675241703364037,0.08807982851483515,0.26028283341181474,0.236442445257045,0.168500576870455,-0.009215736771836722,1.2372669192354826,0.685817854329751,0.685817854329751,0.14317242608549996,0.3853929727500738,0.21520599031928048,0.0014724945192099328,0.0016209654963882144,0.03535048340672808,0.001761596570296703,0.00709327335771135,0.005205656668236295,0.685817854329751,0.14317242608549996,0.3853929727500738,1.2372669192354826,0.1462679834697538,0.24809435638209043,0.0009908668342812049,0.5,0.2,3.91927480182156,0.019817336685624097,0.019817336685624097,0.0,1.0,0.0,0.12,0.1,0.008714238854099565,1.0220609289162021,0.9767341297314163,1.0,0.08434748396526404,0.915652516034736,0.0,0.19400380365089942,0.0,0.0,II: Mutualismo fuerte,0.7707081339768695,1.2975080391392486,0.20876159050211088,0.5619465434747587
12.00800533689126,2.162110845657392,0.4763381748871895,1.9785502928700116,0.18356055278738043,0.25245160803325944,0.22388656685393005,0.1105091575524822,-0.007808335489670901,1.3849852050090081,0.7428388534246967,0.7428388534246967,0.14303640313061264,0.3880488415899419,0.14337370261094323,0.0018684220462955362,0.0021068086250116236,0.039571005857400234,0.0036712110557476085,0.0067165970056179015,0.005049032160665189,0.7428388534246967,0.14303640313061264,0.3880488415899419,1.3849852050090081,0.1469963803161818,0.25381501308069826,0.0010183681224894036,0.5,0.2,4.893974463814939,0.02036736244978807,0.02036736244978807,0.0,1.0,0.0,0.12,0.1,0.008823405630629525,1.241611502398065,0.9104504009386718,1.0,0.08443319453089271,0.9155668054691073,0.0,0.1972234704215403,0.0,0.0,II: Mutualismo fuerte,0.714940046822548,1.3987186815474235,0.19255374493662938,0.5223863018859186
14.409606404269514,2.3864018203174644,0.45922026497597745,2.0926900554241716,0.2937117648932929,0.24612452559196632,0.21309573938401113,0.0895442083241299,-0.006499354087471584,1.46488303879692,0.7644845458148893,0.7644845458148893,0.14268206974300507,0.3891079550769152,0.1364583639653193,0.00224259963640686,0.002590191494202952,0.041853801108483434,0.005874235297865859,0.0063928721815203335,0.004922490511839327,0.7644845458148893,0.14268206974300507,0.3891079550769152,1.46488303879692,0.14749086743053988,0.2578499552808378,0.0010379179084566033,0.5,0.2,5.8781616095427704,0.020758358169132067,0.020758358169132067,0.0,1.0,0.0,0.12,0.1,0.008983063675723286,1.3284246748316009,0.8289449658758238,1.0,0.08465715806537644,0.9153428419346236,0.0,0.18530443833506818,0.0,0.0,II: Mutualismo fuerte,0.695619064717006,1.4375684198476821,0.1866382656202052,0.5089807990968007
16.811207471647766,2.592209778234934,0.4451204634597075,2.1838529951015473,0.40835678313338647,0.24122382820633895,0.20389663525336857,0.08318519710028444,-0.0052894945599251675,1.528697096571083,0.7750027283334103,0.7750027283334103,0.14221084401292963,0.3900717759315518,0.13484151098992872,0.002595542778052323,0.0030707067059595012,0.04367705990203095,0.008167135662667729,0.006116899057601057,0.004824476564126779,0.7750027283334103,0.14221084401292963,0.3900717759315518,1.528697096571083,0.1478481141340643,0.26158135662213455,0.001056110379235954,0.5,0.2,6.87062991929522,0.02112220758471908,0.02112220758471908,0.0,1.0,0.0,0.12,0.1,0.009187605763560558,1.3938555855811543,0.7389587897782524,1.0,0.08495656356303083,0.9150434364369692,0.0,0.16787625838084663,0.0,0.0,II: Mutualismo fuerte,0.68681386583043,1.4559985600669159,0.18349721722966636,0.5033166486007635
19.212808539026017,2.785957136609691,0.433813753413962,2.260721724559744,0.5252354120499468,0.23767996737070068,0.1961337860432613,0.07853053176817826,-0.00416540467704829,1.5825052071918206,0.7810907196938439,0.7810907196938439,0.14166682151599472,0.39108572341482484,0.13417780890090514,0.002931416473870689,0.0035523658922580526,0.04521443449119488,0.010504708240998938,0.005884013581297838,0.004753599347414014,0.7810907196938439,0.14166682151599472,0.39108572341482484,1.5825052071918206,0.14811820768765638,0.26514041116569265,0.0010735650172825804,0.5,0.2,7.871124072304573,0.021471300345651607,0.021471300345651607,0.0,1.0,0.0,0.12,0.1,0.00943637947355589,1.4483273982909155,0.6473229537060616,1.0,0.0853044533341697,0.9146955466658303,0.0,0.14859895320882952,0.0,0.0,II: Mutualismo fuerte,0.6820623154650088,1.4661416955758664,0.18137050911753932,0.5006918063474695
21.61440960640427,2.9694077960674106,0.42511318282278443,2.3263948763248314,0.6430129197425791,0.23543900154846975,0.18967418127431465,0.07440233567880661,-0.003110832772230232,1.628476413427382,0.785001268599329,0.785001268599329,0.1410677355141532,0.39218181572304284,0.133752676027814,0.0032557317926263755,0.004041278772976389,0.04652789752649663,0.012860258394851583,0.005690225438229439,0.0047087800309693955,0.785001268599329,0.1410677355141532,0.39218181572304284,1.628476413427382,0.14832951882439896,0.2685586615170958,0.0010904240954260614,0.5,0.2,8.879448687653177,0.021808481908521225,0.021808481908521225,0.0,1.0,0.0,0.12,0.1,0.009731504211205829,1.4947237373995679,0.560085366778188,1.0,0.08569034960766708,0.9143096503923329,0.0,0.1295786169829132,0.0,0.0,II: Mutualismo fuerte,0.6792976935193223,1.4721086339985308,0.17970383124079373,0.4995938622785287
